,Name,Name2,Bedrooms,Price
64,Private room in Windsor,Private Master Room Windsor,"Serene, Cozy Cottage on the water.",74
65,Loft in Windsor,Charming Erie loft in the heart of Little Italy,Charming Erie loft in the heart of Little Italy,232
66,Private room in Windsor,1 Private room | 2 guests max,Lake House on Lake St Clair,52
67,Guest suite in Windsor,Spacious 1 Bedroom Walkout Basement Unit,1 Private room | 2 guests max,111
68,Private room in Windsor,King Bedroom in a newly built house,King Bedroom in a newly built house,66
69,Private room in Windsor,Cheerful Townhouse in heart of Walkerville,Spacious 1 Bedroom Walkout Basement Unit,92
70,Private room in Windsor,Studio in Trendy & Walkable Olde Walkerville,Cheerful Townhouse in heart of Walkerville,90
71,Villa in Windsor,Cheerful 4-bedroom home by the river.,Studio in Trendy & Walkable Olde Walkerville,279
72,Private room in Windsor,Private BR W/ Spectacular River View Near UWin,Cozy Private BR in a basement/queen bed+free Wifi🎖,64
73,Private room in Windsor,The second room is beautiful!!!,The second room is beautiful!!!,54
74,Bungalow in Windsor,Heart of East Windsor,"Exclusive Boutique Hotel, Private 1 Bedroom Suite",92
75,Private room in Windsor,The fourth room is beautiful !!!,The fourth room is beautiful !!!,54
76,Private room in Windsor,Cozy Private BR in a basement/queen bed+free Wifi🎖,Year Round Hot Tub at The Gem!,75
77,Home in Windsor,"Couple's Romantic Retreat with hot tub, fire pit.",Professionals Favorite Place,322
78,Home in Windsor,Stylish Suite Near Waterfront & Downtown,"Couple's Romantic Retreat with hot tub, fire pit.",176
79,Private room in Windsor,Private BR W/ Spectacular River View Near UWindsor,Private BR W/ Spectacular River View Near UWindsor,64
80,Cottage in Windsor,"Serene, Cozy Cottage on the water.",Stylish Suite Near Waterfront & Downtown,195
81,Cottage in Lakeshore,Lake House on Lake St Clair,Private Master Room Windsor,165
82,Private room in Windsor,Private Master Room Windsor,"Serene, Cozy Cottage on the water.",74
83,Loft in Windsor,Charming Erie loft in the heart of Little Italy,Charming Erie loft in the heart of Little Italy,232
84,Private room in Windsor,1 Private room | 2 guests max,Lake House on Lake St Clair,52
85,Guest suite in Windsor,Spacious 1 Bedroom Walkout Basement Unit,1 Private room | 2 guests max,111
86,Private room in Windsor,King Bedroom in a newly built house,King Bedroom in a newly built house,66
87,Private room in Windsor,Cheerful Townhouse in heart of Walkerville,Spacious 1 Bedroom Walkout Basement Unit,92
88,Private room in Windsor,Studio in Trendy & Walkable Olde Walkerville,Cheerful Townhouse in heart of Walkerville,90
89,Villa in Windsor,Cheerful 4-bedroom home by the river.,Studio in Trendy & Walkable Olde Walkerville,279
90,Private room in Windsor,Private BR W/ Spectacular River View Near UWin,Cozy Private BR in a basement/queen bed+free Wifi🎖,64
91,Private room in Windsor,The second room is beautiful!!!,The second room is beautiful!!!,54
92,Bungalow in Windsor,Heart of East Windsor,"Exclusive Boutique Hotel, Private 1 Bedroom Suite",92
93,Private room in Windsor,The fourth room is beautiful !!!,The fourth room is beautiful !!!,54
94,Private room in Windsor,Cozy Private BR in a basement/queen bed+free Wifi🎖,Year Round Hot Tub at The Gem!,75
95,Home in Windsor,"Couple's Romantic Retreat with hot tub, fire pit.",Professionals Favorite Place,322
96,Home in Windsor,Stylish Suite Near Waterfront & Downtown,"Couple's Romantic Retreat with hot tub, fire pit.",176
97,Private room in Windsor,Private BR W/ Spectacular River View Near UWindsor,Private BR W/ Spectacular River View Near UWindsor,64
98,Cottage in Windsor,"Serene, Cozy Cottage on the water.",Stylish Suite Near Waterfront & Downtown,195
99,Cottage in Lakeshore,Lake House on Lake St Clair,Private Master Room Windsor,165
100,Private room in Windsor,Private Master Room Windsor,"Serene, Cozy Cottage on the water.",74
101,Loft in Windsor,Charming Erie loft in the heart of Little Italy,Charming Erie loft in the heart of Little Italy,232
102,Private room in Windsor,1 Private room | 2 guests max,Lake House on Lake St Clair,52
103,Guest suite in Windsor,Spacious 1 Bedroom Walkout Basement Unit,1 Private room | 2 guests max,111
104,Private room in Windsor,King Bedroom in a newly built house,King Bedroom in a newly built house,66
105,Private room in Windsor,Cheerful Townhouse in heart of Walkerville,Spacious 1 Bedroom Walkout Basement Unit,92
106,Private room in Windsor,Studio in Trendy & Walkable Olde Walkerville,Cheerful Townhouse in heart of Walkerville,90
107,Villa in Windsor,Cheerful 4-bedroom home by the river.,Studio in Trendy & Walkable Olde Walkerville,279
108,Private room in Windsor,Private BR W/ Spectacular River View Near UWin,Cozy Private BR in a basement/queen bed+free Wifi🎖,64
109,Private room in Windsor,The second room is beautiful!!!,The second room is beautiful!!!,54
110,Bungalow in Windsor,Heart of East Windsor,"Exclusive Boutique Hotel, Private 1 Bedroom Suite",92
111,Private room in Windsor,The fourth room is beautiful !!!,The fourth room is beautiful !!!,54
112,Private room in Windsor,Cozy Private BR in a basement/queen bed+free Wifi🎖,Year Round Hot Tub at The Gem!,75
113,Home in Windsor,"Couple's Romantic Retreat with hot tub, fire pit.",Professionals Favorite Place,322
114,Home in Windsor,Stylish Suite Near Waterfront & Downtown,"Couple's Romantic Retreat with hot tub, fire pit.",176
115,Private room in Windsor,Private BR W/ Spectacular River View Near UWindsor,Private BR W/ Spectacular River View Near UWindsor,64
116,Cottage in Windsor,"Serene, Cozy Cottage on the water.",Stylish Suite Near Waterfront & Downtown,195
117,Cottage in Lakeshore,Lake House on Lake St Clair,Private Master Room Windsor,165
118,Private room in Windsor,Private Master Room Windsor,"Serene, Cozy Cottage on the water.",74
119,Loft in Windsor,Charming Erie loft in the heart of Little Italy,Charming Erie loft in the heart of Little Italy,232
120,Private room in Windsor,1 Private room | 2 guests max,Lake House on Lake St Clair,52
121,Guest suite in Windsor,Spacious 1 Bedroom Walkout Basement Unit,1 Private room | 2 guests max,111
122,Private room in Windsor,King Bedroom in a newly built house,King Bedroom in a newly built house,66
123,Private room in Windsor,Cheerful Townhouse in heart of Walkerville,Spacious 1 Bedroom Walkout Basement Unit,92
124,Private room in Windsor,Studio in Trendy & Walkable Olde Walkerville,Cheerful Townhouse in heart of Walkerville,90
125,Villa in Windsor,Cheerful 4-bedroom home by the river.,Studio in Trendy & Walkable Olde Walkerville,279
